Product Code,Lower Limit,Upper Limit,Prices,Price Adjustment
2PC Set (2S102524),1,23,160.00,155.00
2PC Set (2S102524),24,10000,155.00,155.00
,,,,
Baby Dress (BD111224),1,10000,180.00,180.00
,,,,
Frogsuit 2PPC Set (F2S120424),1,10000,150.00,150.00
,,,,
H&M Tops (HT080524),6,11,75.00,70.00
H&M Tops (HT080524),12,10000,70.00,70.00
,,,,
H&M Zippered Tracksuit (HZT111324),1,23,255.00,250.00
H&M Zippered Tracksuit (HZT111324),24,10000,250.00,250.00
,,,,
H&MxDisney Demin Jeans (HDJ112224),1,10000,135.00,135.00
,,,,
Jacket/Sweatshirt (J110823),1,10000,80.00,80.00
,,,,
Organic Onesie (OO110224),1,99,74.00,69.00
Organic Onesie (OO110224),100,10000,69.00,69.00
,,,,
Organic Tops (OT090324),1,29,83.00,78.00
Organic Tops (OT090324),30,10000,78.00,78.00
,,,,
Premium Rompers / Jumpers (PRJ080524),1,19,115.00,110.00
Premium Rompers / Jumpers (PRJ080524),20,10000,110.00,110.00
,,,,
R+B Snugfit 2PC Set (RS2S110424),1,59,200.00,190.00
R+B Snugfit 2PC Set (RS2S110424),60,89,195.00,190.00
R+B Snugfit 2PC Set (RS2S110424),90,10000,190.00,190.00
,,,,
Rabbit + Bear Frogsuit Set (RBFS110424),6,11,225.00,220.00
Rabbit + Bear Frogsuit Set (RBFS110424),12,10000,220.00,220.00
,,,,
Rabbit Bear Head Bands (RBHB061224),10,99,33.00,28.00
Rabbit Bear Head Bands (RBHB061224),100,10000,30.00,30.00
,,,,
Milkberry / Beau Et. Belle (MBEB010425),1,49,160.00,
Milkberry / Beau Et. Belle (MBEB010425),50,10000,155.00,
,,,,
R+B Leggings (RL092724),50,99,88.00,83.00
R+B Leggings (RL092724),100,10000,83.00,83.00
,,,,
PL Baby Jumper Set (PBJS112224),10,10000,205.00,205.00
,,,,
Disney Pants (DP110424),20,59,70.00,65.00
Disney Pants (DP110424),60,10000,65.00,65.00
,,,,
Rabbit + Bear 3PC Mixed Set (RB3MS110424),6,11,250.00,245.00
Rabbit + Bear 3PC Mixed Set (RB3MS110424),12,10000,245.00,245.00
,,,,
Rabbit Bear Hats (RBH061224),20,99,36.00,31.00
Rabbit Bear Hats (RBH061224),100,10000,33.00,33.00
,,,,
R+B Corduroy Dress Set (RCDS110424),6,11,255.00,250.00
R+B Corduroy Dress Set (RCDS110424),12,10000,250.00,250.00
,,,,
Rabbit + Bear 2PC Set (RB2S110424),6,11,235.00,230.00
Rabbit + Bear 2PC Set (RB2S110424),12,10000,230.00,230.00
,,,,
RZ Sweatshirts (RS110424),6,11,109.00,99.00
RZ Sweatshirts (RS110424),12,10000,104.00,99.00
,,,,
R+B Jumper (RJ070524),1,29,140.00,135.00
R+B Jumper (RJ070524),30,10000,135.00,135.00
,,,,
R+B Longsleeves Dress (RLD110624),6,11,115.00,110.00
R+B Longsleeves Dress (RLD110624),12,10000,110.00,110.00
,,,,
Organic Jacket (OJ092624),1,59,130.00,125.00
Organic Jacket (OJ092624),60,10000,125.00,125.00
,,,,
Baby Berry Onesie (BBO110424),1,59,63.00,58.00
Baby Berry Onesie (BBO110424),60,10000,58.00,58.00
,,,,
R+B Short/Skirt/Undies (RS091524),1,29,55.00,50.00
R+B Short/Skirt/Undies (RS091524),30,10000,50.00,50.00
,,,,
Baby Pants (BP011724),1,49,43.00,38.00
Baby Pants (BP011724),50,10000,38.00,38.00
,,,,
Rabbit + Bear Sweatshirts (RBS110424),1,39,140.00,135.00
Rabbit + Bear Sweatshirts (RBS110424),40,10000,135.00,135.00
,,,,
RZ 2PC Set (R2S110424),6,11,175.00,170.00
RZ 2PC Set (R2S110424),12,10000,170.00,170.00
,,,,
R+B Pajama (RP111124),30,59,70.00,65.00
R+B Pajama (RP111124),60,10000,65.00,65.00
,,,,
Milkberry / Beau Et. Belle Set (MBEBS010425),1,10000,170.00,170.00
,,,,
 Baby Dress (BD111224),1,10000,180.00,180.00
,,,,
Milkberry / Beau Et. Belle Frogsuit Set (MBEBFS010425),1,10000,270.00,270.00
,,,,
Mixed Onesies (MO112024),1,149,53.00,38.00
Mixed Onesies (MO112024),150,349,48.00,38.00
Mixed Onesies (MO112024),350,699,45.00,40.00
Mixed Onesies (MO112024),700,10000,42.00,42.00
,,,,
R+B 3PC Onesie Set (R3OS111324),10,19,230.00,225.00
R+B 3PC Onesie Set (R3OS111324),20,10000,225.00,225.00
,,,,
Little Loved Zippered Frogsuit (LLZF110224),1,99,140.00,135.00
Little Loved Zippered Frogsuit (LLZF110224),100,10000,135.00,135.00
,,,,
Organic Longsleeves Onesies (OLO011925),1,99,92.00,2.00
Organic Longsleeves Onesies (OLO011925),100,10000,89.00,
,,,,
Organic Shortsleeves Onesies (OSO011925),1,99,89.00,2.00
Organic Shortsleeves Onesies (OSO011925),100,10000,86.00,
,,,,
R+B Longsleeves Tops (RLT111224),30,59,85.00,80.00
R+B Longsleeves Tops (RLT111224),60,10000,80.00,80.00
,,,,
Bibs (B012025),1,10000,20.00,
,,,,
Premium Tops (PT012125),1,10000,75.00,
,,,,
,,,,
Frogsuits With Hanger (FWH012025),1,10000,119.00,
,,,,
R+B Skirt (RS110924),1,19,100.00,95.00
R+B Skirt (RS110924),20,10000,95.00,95.00
,,,,
R+B Hoodie 3PC Set (RH3S110224),1,23,265.00,260.00
R+B Hoodie 3PC Set (RH3S110224),24,10000,260.00,260.00
,,,,
R+B Hoodie Jacket (RHJ072924),10,19,145.00,135.00
R+B Hoodie Jacket (RHJ072924),20,10000,140.00,135.00
,,,,
Disney Jogger Pants (DJP012425),1,99,70.00,
Disney Jogger Pants (DJP012425),100,699,65.00,
Disney Jogger Pants (DJP012425),700,10000,60.00,
,,,,
Tahari Dress (TD012425),1,10000,215.00,
,,,,
Organic Jessica Simpson Summer Dress (OJSSD012425),1,10000,235.00,
,,,,
Sleeveless Onesie (SO012525),30,59,65.00,
Sleeveless Onesie (SO012525),60,10000,60.00,
,,,,
Carters Pajama (CP012525),1,10000,55.00,
,,,,
Tex Hooded Baby Towelette (THBT012525),1,10000,110.00,
,,,,
H&M Organic Pants (HOP012825),1,39,85.00,
H&M Organic Pants (HOP012825),40,10000,80.00,
,,,,
H&M Ribbed Leggings (HRL012825),10,19,80.00,
H&M Ribbed Leggings (HRL012825),20,10000,75.00,
,,,,
Guess Frogsuit (GF012825),6,11,195.00,
Guess Frogsuit (GF012825),12,10000,190.00,
,,,,
H&M Rompers (HR012825),6,11,155.00,
H&M Rompers (HR012825),12,10000,150.00,
,,,,
H&M Organic Shorts (HOS012825),6,11,80.00,
H&M Organic Shorts (HOS012825),12,10000,75.00,
,,,,
H&M Organic Jogger (HOJ012825),1,23,85.00,
H&M Organic Jogger (HOJ012825),24,10000,80.00,
,,,,
H&M Baby Tops (HBT012825),6,11,130.00,
H&M Baby Tops (HBT012825),12,10000,125.00,
,,,,
