Posting Date,Product,INTENTED OUTPUT - Product Code
010425,Milkberry / Beau Et. Belle,Milkberry / Beau Et. Belle (MBEB-010425)
012025,Frogsuits With Hanger,Frogsuits With Hanger (FWH-012025)
012025,Bibs,Bibs (B-012025)
012125,Premium Tops,Premium Tops (PT-012125)
012125,Pajama Set,Pajama Set (PS-012125)
120424,H&M Organic Longsleeves Onesie,H&M Organic Longsleeves Onesie (HOLO-120424)
012525,Sleeveless Onesie,Sleeveless Onesie (SO-012525)
012525,Tex Hooded Baby Towelette,Tex Hooded Baby Towelette (THBT-012525)
012525,Carters Pajama,Carters Pajama (CP-012525)
020225,Baby Short,Baby Short (BS-020225)
020225,Baby Pants,Baby Pants (BP-020225)
012425,Disney Jogger Pants,Disney Jogger Pants (DJP-012425)
012425,Tahari Dress,Tahari Dress (TD-012425)
012425,Organic Jessica Simpson Summer Dress,Organic Jessica Simpson Summer Dress (OJSSD-012425)
021025,Bonnets,Bonnets (B-021025)
021025,Baby Pants,Baby Pants (BP-021025)
021025,Frogsuits,Frogsuits (F-021025)
012825,H&M Organic Pants,H&M Organic Pants (HOP-012825)
012825,H&M Organic Shorts,H&M Organic Shorts (HOS-012825)
012825,H&M Organic Jogger,H&M Organic Jogger (HOJ-012825)
012825,H&M Ribbed Leggings,H&M Ribbed Leggings (HRL-012825)
012825,H&M Rompers,H&M Rompers (HR-012825)
012825,H&M Baby Tops,H&M Baby Tops (HBT-012825)
012825,H&M Skirt,H&M Skirt (HS-012825)
012825,Premium Footed Pants,Premium Footed Pants (PFP-012825)
012825,Guess Frogsuit,Guess Frogsuit (GF-012825)
012825,Milkberry Frogsuit,Milkberry Frogsuit (MF-012825)
012825,Frogsuits With Accessories,Frogsuits With Accessories (FWA-012825)
012825,2-PC Frogsuit,2-PC Frogsuit (2F-012825)
012825,3-PC Set,3-PC Set (3S-012825)
021425,Mixed Tops,Mixed Tops (MT-021425)
020525,Organic Baby Polo,Organic Baby Polo (OBP-020525)
020725,Organic Tops,Organic Tops (OT-020725)
020425,Organic Pants,Organic Pants (OP-020425)
020425,Organic Shorts,Organic Shorts (OS-020425)
011925,Organic Longsleeves Onesies,Organic Longsleeves Onesies (OLO-011925)
011925,Organic Shortsleeves Onesies,Organic Shortsleeves Onesies (OSO-011925)
,Carters Baby Shorts,Carters Baby Shorts (CBS-)
020725,Champion Shirts,Champion Shirts (CS-020725)
022225,Hallmark Frogsuit,Hallmark Frogsuit (HF-022225)
022225,Corduroy Shorts,Corduroy Shorts (CS-022225)
022425,Frogsuits,Frogsuits (F-022425)
022825,Organic Dress,Organic Dress (OD-022825)
030125,Organic Sleeveless Tops,Organic Sleeveless Tops (OST-030125)
