WEIGHT,WIDTH,LENGTH,HEIGHT,CHECKOUT LINKS,PRODUCT PORTALS,PRODUCT NAMES
0.50,34,36,13,shopee.ph/product/578517463/43208400061/,https://seller.shopee.ph/portal/product/43208400061,[ DO NOT BUY!!! FOR RESELLERS ONLY ] Mall Pullouts Premium Brands Onesies
1.00,34,36,15,shopee.ph/product/578517463/23143651917,seller.shopee.ph/portal/product/23143651917,Custom Set For Resellers
1.50,34,36,16,shopee.ph/product/578517463/22330430905,seller.shopee.ph/portal/product/22330430905,[ DO NOT BUY!!! FOR RESELLERS ONLY ] 30pcs Carter's Jumpsuit (Mall Pull-out / Overruns) - J
2.00,30,64,11,shopee.ph/product/578517463/18356801165,seller.shopee.ph/portal/product/18356801165,[ DO NOT BUY!!! FOR RESELLERS ONLY ] 2 sets of 3-piece sets
2.50,30,64,12,shopee.ph/product/578517463/18175543005,seller.shopee.ph/portal/product/18175543005,[ DO NOT BUY!!! FOR RESELLERS ONLY ] 30pcs Carter's Jumpsuit (Mall Pull-out / Overruns)
3.00,30,64,13,shopee.ph/product/578517463/17902516199,seller.shopee.ph/portal/product/17902516199,[ DO NOT BUY!!! FOR RESELLERS ONLY ] Mixed Brands Baby Onesies
3.50,30,64,14,shopee.ph/product/578517463/17201813129,seller.shopee.ph/portal/product/17201813129,[ DO NOT BUY!!! FOR RESELLERS ONLY ] Mall Pullouts - Mixed Baby Clothes
4.00,30,64,15,shopee.ph/product/578517463/16188330444,seller.shopee.ph/portal/product/16188330444,[ DO NOT BUY!!! FOR RESELLERS ONLY ] 3 pieces Rabbit + Bear Frogsuits
4.50,30,64,16,shopee.ph/product/578517463/15925454671,seller.shopee.ph/portal/product/15925454671,[ DO NOT BUY!!! FOR RESELLERS ONLY ] Mixed Brands & Juniors Onesies
5.00,30,64,17,shopee.ph/product/578517463/15620437920,seller.shopee.ph/portal/product/15620437920,[ DO NOT BUY!!! FOR RESELLERS ONLY ] 42pcs Old Navy/GAP (Mall pullouts)
5.50,30,64,18,shopee.ph/product/578517463/15547412166,seller.shopee.ph/portal/product/15547412166,[ DO NOT BUY!!! FOR RESELLERS ONLY ] - Baby Headbands (Mall Pullouts)
6.00,30,64,20,shopee.ph/product/578517463/15531723626,seller.shopee.ph/portal/product/15531723626,[ DO NOT BUY!!! FOR RESELLERS ONLY ] Mixed Brands & Juniors Onesies
6.50,30,64,21,shopee.ph/product/578517463/15450524988,seller.shopee.ph/portal/product/15450524988,"[ DO NOT BUY!!! FOR RESELLERS ONLY ] Nicole Miller, Jessica Simpson and Daisy Fuentes Baby Headbands"
7.00,30,64,22,shopee.ph/product/578517463/15347438700,seller.shopee.ph/portal/product/15347438700,[ DO NOT BUY!!! FOR RESELLERS ONLY ] 120pcs baby headband
7.50,30,64,23,shopee.ph/product/578517463/15294218513,seller.shopee.ph/portal/product/15294218513,[ DO NOT BUY!!! FOR RESELLERS ONLY ] 5 Pieces Premium Frogsuits
8.00,30,64,24,shopee.ph/product/578517463/15120656681,seller.shopee.ph/portal/product/15120656681,[ DO NOT BUY!!! FOR RESELLERS ONLY ] Premium Brands Frogsuits (Mall Pullouts)
8.50,30,64,25,shopee.ph/product/578517463/15120656681,seller.shopee.ph/portal/product/15102026079,[ DO NOT BUY!!! FOR RESELLERS ONLY ] 30pcs  Authentic Juniors Baby Rompers (Mall Pull-outs)
9.00,30,64,26,shopee.ph/product/578517463/15047437356,seller.shopee.ph/portal/product/15047437356,[ DO NOT BUY!!! FOR RESELLERS ONLY ] Premium Brands Frogsuit
9.50,30,64,27,shopee.ph/product/578517463/15021715640,seller.shopee.ph/portal/product/15021715640,[ DO NOT BUY!!! FOR RESELLERS ONLY ] Mixed Brands Baby Hats
10.00,30,64,28,shopee.ph/product/578517463/14818488368,seller.shopee.ph/portal/product/14818488368,[ DO NOT BUY!!! FOR RESELLERS ONLY ] Premium Brands Baby Dress
