Product Code,Lower Limit,Upper Limit,Prices,Price Adjustment
2-PC Set (2S-102524),1,23,₱160.00,
2-PC Set (2S-102524),24,10000,₱155.00,
,,,,
Baby Dress (BD-111224),1,10000,₱180.00,
,,,,
Frogsuit 2P-PC Set (F2S-120424),1,10000,₱150.00,
,,,,
H&M Tops (HT-080524),6,11,₱75.00,
H&M Tops (HT-080524),12,10000,₱70.00,
,,,,
H&M Zippered Tracksuit (HZT-111324),1,23,₱255.00,
H&M Zippered Tracksuit (HZT-111324),24,10000,₱250.00,
,,,,
H&MxDisney Demin Jeans (HDJ-112224),1,10000,₱135.00,
,,,,
Jacket/Sweatshirt (J-110823),1,10000,₱80.00,
,,,,
Organic Onesie (OO-110224),1,99,₱74.00,
Organic Onesie (OO-110224),100,10000,₱69.00,
,,,,
Organic Tops (OT-090324),1,29,₱83.00,
Organic Tops (OT-090324),30,10000,₱78.00,
,,,,
Premium Rompers / Jumpers (PRJ-080524),1,19,₱115.00,
Premium Rompers / Jumpers (PRJ-080524),20,10000,₱110.00,
,,,,
R+B Snugfit 2-PC Set (RS2S-110424),1,59,₱200.00,
R+B Snugfit 2-PC Set (RS2S-110424),60,89,₱195.00,
R+B Snugfit 2-PC Set (RS2S-110424),90,10000,₱190.00,
,,,,
Rabbit + Bear Frogsuit Set (RBFS-110424),6,11,₱225.00,
Rabbit + Bear Frogsuit Set (RBFS-110424),12,10000,₱220.00,
,,,,
Rabbit Bear Head Bands (RBHB-061224),10,99,₱33.00,
Rabbit Bear Head Bands (RBHB-061224),100,10000,₱30.00,
,,,,
Milkberry / Beau Et. Belle (MBEB-010425),1,49,₱140.00,
Milkberry / Beau Et. Belle (MBEB-010425),50,10000,₱135.00,
,,,,
R+B Leggings (RL-092724),50,99,₱88.00,
R+B Leggings (RL-092724),100,10000,₱83.00,
,,,,
PL Baby Jumper Set (PBJS-112224),10,10000,₱205.00,
,,,,
Disney Pants (DP-110424),20,59,₱70.00,
Disney Pants (DP-110424),60,10000,₱65.00,
,,,,
Rabbit + Bear 3-PC Mixed Set (RB3MS-110424),6,11,₱250.00,
Rabbit + Bear 3-PC Mixed Set (RB3MS-110424),12,10000,₱245.00,
,,,,
