Shipment Code,CV Number,No. Of Sacks,Total CBM,Weight,Shipment Status,Posting Date,Order Date,Payment,Product,Product Code,Age Range,Unit,Unit Price,Quantity,ALIBABA SHIPPING,Exchange Rates,PHP,Sub Total (PHP),Transaction Fee,Grand Total,FORWARDER'S FEE,LALAMOVE,PACKAGING COST,Suggested Price,Actual Price,Base Price,COGS,Projected Sales Total,Projected Profit,Projected Profit (%),Total Markup
KPC 23930A-00214,GR022,8,1.52,316,Delivered,090525,,Paid,Baby Pants,Baby Pants (BP-090525),12m-4T,pc,$0.90,126,0.92,60.00,₱54.00,"₱6,859.20",₱205.09,"₱7,064.29",₱242.63,₱60.66,₱60.66,₱72.00,₱79.00,₱58.95,"₱7,428.24","₱9,954.00","₱2,525.76",34.00%,146.30%
KPC 23930A-00214,GR022,8,1.52,316,Delivered,090525,,Paid,H&M Sweater,H&M Sweater (HS-090525),4m-4T,pc,$1.25,43,0.31,60.00,₱75.00,"₱3,243.60",₱96.98,"₱3,340.58",₱82.80,₱20.70,₱20.70,₱99.00,₱125.00,₱80.58,"₱3,464.78","₱5,375.00","₱1,910.22",55.13%,166.67%
KPC 23930A-00214,GR022,8,1.52,316,Delivered,090525,,Paid,Baby Sweater,Baby Sweater (BS-090525),0-24m,pc,$0.76,326,2.39,60.00,₱45.60,"₱15,009.00",₱448.77,"₱15,457.77",₱627.77,₱156.94,₱156.94,₱62.00,₱75.00,₱50.30,"₱16,399.42","₱24,450.00","₱8,050.58",49.09%,164.47%
KPC 23930A-00214,GR022,8,1.52,316,Delivered,081825,,Paid,Organic Cotton Willow + Whimsy 3-PC Set,Organic Cotton Willow + Whimsy 3-PC Set (OCWW3S-081825),0-12m,set,$1.76,972,21.34,60.00,₱105.60,"₱103,923.60","₱3,107.32","₱107,030.92","₱5,615.25","₱1,403.81","₱1,403.81",₱145.00,₱159.00,₱118.78,"₱115,453.79","₱154,548.00","₱39,094.21",33.86%,150.57%
KPC 23930A-00214,GR022,8,1.52,316,Delivered,090525,,Paid,Baby Bibs 5-PC Set,Baby Bibs 5-PC Set (BB5S-090525),0-9m,pc,$1.50,148,2.71,60.00,₱90.00,"₱13,482.60",₱403.13,"₱13,885.73",₱712.50,₱178.12,₱178.12,₱124.00,₱145.00,₱101.04,"₱14,954.47","₱21,460.00","₱6,505.53",43.50%,161.11%
KPC 23930A-00214,GR022,8,1.52,316,Delivered,090525,,Paid,Dymples & Baby Berry Non Footed Frogsuit,Dymples & Baby Berry Non Footed Frogsuit (D&BBNFF-090525),0-24m,pc,$1.82,226,3.31,60.00,₱109.20,"₱24,877.80",₱743.85,"₱25,621.65",₱870.40,₱217.60,₱217.60,₱146.00,₱145.00,₱119.15,"₱26,927.25","₱32,770.00","₱5,842.75",21.70%,132.78%
KPC 23930A-00214,GR022,8,1.52,316,Delivered,090625,,Paid,Milkberry Frogsuit,Milkberry Frogsuit (MF-090625),0-9m,pc,$1.46,101,1.48,60.00,₱87.60,"₱8,936.40",₱267.20,"₱9,203.60",₱388.99,₱97.25,₱97.25,₱119.00,₱135.00,₱96.90,"₱9,787.09","₱13,635.00","₱3,847.91",39.32%,154.11%
KPC 23930A-00215,GS015,8,1.46,256,Delivered,101625,,Paid,Chickpea Non-Footed Frogsuit,Chickpea Non-Footed Frogsuit (CNF-101625),0-9m,pc,$1.34,161,3.40,₱60.00,₱80.40,"₱13,148.40",₱393.14,"₱13,541.54",₱978.33,₱223.36,₱223.36,₱114.00,₱125.00,₱92.96,"₱14,966.59","₱20,125.00","₱5,158.41",34.47%,155.47%
KPC 23930A-00215,GS015,8,1.46,256,Delivered,101625,,Paid,Baby Berry Onesie Romper Sweatshirt,Baby Berry Onesie Romper Sweatshirt (BBORS-101625),0-24m,pc,$0.92,216,1.82,₱60.00,₱55.20,"₱12,032.40",₱359.77,"₱12,392.17",₱525.02,₱119.87,₱119.87,₱75.00,₱105.00,₱60.91,"₱13,156.93","₱22,680.00","₱9,523.07",72.38%,190.22%
KPC 23930A-00215,GS015,8,1.46,256,Delivered,102925,,Paid,Milkberry 2-PC Set,Milkberry 2-PC Set (M2S-102925),0-9m,set,$1.94,173,4.38,₱60.00,₱116.40,"₱20,400.00",₱609.96,"₱21,009.96","₱1,261.50",₱288.01,₱288.01,₱162.00,₱165.00,₱132.07,"₱22,847.48","₱28,545.00","₱5,697.52",24.94%,141.75%
