Shipment Code,CV Number,No. Of Sacks,Total CBM,Weight,Shipment Status,Posting Date,Order Date,Payment,Product,Product Code,Age Range,Unit,Unit Price,Quantity,Shipping Fee 1,Exchange Rates,PHP,Sub Total (PHP),Transaction Fee,Grand Total,Shipping Fee 2,Shipping Fee 3,Packaging,Suggested Price,Actual Price,Base Price,COGS,Projected Sales Total,Projected Profit,Projected Profit (%),Total Markup
KPC 23930A-00169,,,,,,010425,,Paid,Milkberry / Beau Et. Belle,,0-9 months,pc,1.70,2175,0.00,60.00,,,,,"4,575.00","1,500.00","1,500.00",,135.00,,,,,,
KPC 23930A-00171,,,,,,012025,,Paid,Frogsuits With Hanger,,0-24 months,pc,1.15,1000,0.00,61.00,,,,,"6,346.15","1,153.85","1,153.85",,119.00,,,,,,
KPC 23930A-00171,,,,,,012025,,Paid,Bibs,,0-24 months,pc,0.20,1500,0.00,61.00,,,,,"1,903.85",346.15,346.15,,20.00,,,,,,
KPC 23930A-00172,,,,,,012125,,Paid,Premium Tops,,0-24 months,pc,0.86,1977,12.00,60.00,,,,,"4,000.00",800.00,800.00,,75.00,,,,,,
KPC 23930A-00172,,,,,,012125,,Paid,Pajama Set,,12m-4T,set,1.86,93,13.00,60.00,,,,,500.00,100.00,100.00,,160.00,,,,,,
KPC 23930A-00172,,,,,,120424,,Paid,H&M Organic Longsleeves Onesie,,0-6,pc,0.69,1549,19.00,60.00,,,,,"4,800.00","1,500.00","1,500.00",,57.00,,,,,,
KPC 23930A-00173,,,,,,012525,,Paid,Sleeveless Onesie,,0-18,pc,0.69,1520,10.26,60.00,,,,,"2,051.41",305.27,305.27,,60.00,,,,,,
KPC 23930A-00173,,,,,,012525,,Paid,Tex Hooded Baby Towelette,,6m-23m,pc,1.20,1022,20.69,60.00,,,,,"4,137.92",615.76,615.76,,110.00,,,,,,
KPC 23930A-00173,,,,,,012525,,Paid,Carters Pajama,,0-2T,pc,0.50,3931,53.05,60.00,,,,,"10,610.67","1,578.97","1,578.97",,55.00,,,,,,
KPC 23930A-00174,,,,,,020225,,Paid,Baby Short,,0-24m,pc,0.43,1000,0.00,61.00,,,,,"1,331.25",375.00,375.00,,39.00,,,,,,
KPC 23930A-00174,,,,,,020225,,Paid,Baby Pants,,0-24m,pc,0.43,1500,0.00,61.00,,,,,"3,993.75","1,125.00","1,125.00",,45.00,,,,,,
KPC 23930A-00175,,,,,,012425,,Paid,Disney Jogger Pants,,0-24 months,pc,0.56,3862,39.45,60.00,,,,,"11,045.56","1,643.68","1,643.68",,60.00,,,,,,
KPC 23930A-00175,,,,,,012425,,Paid,Tahari Dress,,3m-5T,pc,2.50,278,5.68,60.00,,,,,"1,590.19",236.64,236.64,,215.00,,,,,,
KPC 23930A-00175,,,,,,012425,,Paid,Organic Jessica Simpson Summer Dress,,18m-8Y,pc,2.50,728,14.87,60.00,,,,,"4,164.25",619.68,619.68,,235.00,,,,,,
KPC 23930A-00176,,,,,,021025,,Paid,Bonnets,,0-24m,pc,0.20,1500,0.00,60.00,,,,,694.57,104.35,104.35,,18.00,,,,,,
KPC 23930A-00176,,,,,,021025,,Paid,Baby Pants,,0-24m,pc,0.43,1000,0.00,60.00,,,,,"2,315.22",347.83,347.83,,39.00,,,,,,
KPC 23930A-00176,,,,,,021025,,Paid,Frogsuits,,0-24m,pc,1.20,500,0.00,60.00,,,,,"2,315.22",347.83,347.83,,105.00,,,,,,
KPC 23930A-00177,,,,,,012825,,Paid,H&M Organic Pants,,2m-4T,pc,0.76,409,2.87,61.00,,,,,"1,201.08",191.26,191.26,,80.00,,,,,,
KPC 23930A-00177,,,,,,012825,,Paid,H&M Organic Shorts,,0-3T,pc,0.69,40,0.28,61.00,,,,,117.47,18.70,18.70,,75.00,,,,,,
KPC 23930A-00177,,,,,,012825,,Paid,H&M Organic Jogger,,1m-9m,pc,0.76,89,0.62,61.00,,,,,261.36,41.62,41.62,,80.00,,,,,,
KPC 23930A-00177,,,,,,012825,,Paid,H&M Ribbed Leggings,,2m-3T,pc,0.76,69,0.48,61.00,,,,,202.63,32.27,32.27,,75.00,,,,,,
KPC 23930A-00177,,,,,,012825,,Paid,H&M Rompers,,3m-10T,pc,1.53,37,0.52,61.00,,,,,217.31,34.60,34.60,,150.00,,,,,,
KPC 23930A-00177,,,,,,012825,,Paid,H&M Baby Tops,,4m-4T,pc,1.39,41,0.29,61.00,,,,,120.40,19.17,19.17,,125.00,,,,,,
KPC 23930A-00177,,,,,,012825,,Paid,H&M Skirt,,2T-12T,pc,0.84,51,0.36,61.00,,,,,149.77,23.85,23.85,,85.00,,,,,,
KPC 23930A-00177,,,,,,012825,,Paid,Premium Footed Pants,,0-18m,pc,0.56,1171,8.21,61.00,,,,,"3,438.80",547.58,547.58,,58.00,,,,,,
KPC 23930A-00177,,,,,,012825,,Paid,Guess Frogsuit,,0-9m,pc,1.80,49,0.69,61.00,,,,,287.79,45.83,45.83,,190.00,,,,,,
KPC 23930A-00177,,,,,,012825,,Paid,Milkberry Frogsuit,,0-24m,pc,1.66,523,7.34,61.00,,,,,"3,071.72",489.13,489.13,,145.00,,,,,,
KPC 23930A-00177,,,,,,012825,,Paid,Frogsuits With Accessories,,0-9m,set,2.08,168,3.54,61.00,,,,,"1,480.07",235.68,235.68,,185.00,,,,,,
KPC 23930A-00177,,,,,,012825,,Paid,2-PC Frogsuit,,0-9m,set,2.78,65,2.28,61.00,,,,,954.41,151.98,151.98,,240.00,,,,,,
KPC 23930A-00177,,,,,,012825,,Paid,3-PC Set,,0-9m,set,2.20,90,2.53,61.00,,,,,"1,057.19",168.34,168.34,,185.00,,,,,,
KPC 23930A-00178,,,,,,021425,,Paid,Mixed Tops,,0-24m,pc,0.65,1000,0.00,60.00,,,,,"2,250.00","1,000.00","1,000.00",,55.00,,,,,,
KPC 23930A-00180,,,,,,020525,,Paid,Organic Baby Polo,,3m-4T,pc,1.78,1370,0.00,61.00,,,,,"3,312.46",707.79,707.79,,159.00,,,,,,
KPC 23930A-00180,,,,,,020725,,Paid,Organic Tops,,3m-4T,pc,1.20,2420,0.00,61.00,,,,,"5,851.21","1,250.26","1,250.26",,115.00,,,,,,
KPC 23930A-00180,,,,,,020425,,Paid,Organic Pants,,3m-4T,pc,0.71,200,0.00,61.00,,,,,483.57,103.33,103.33,,85.00,,,,,,
KPC 23930A-00180,,,,,,020425,,Paid,Organic Shorts,,3m-4T,pc,0.71,1698,0.00,61.00,,,,,"2,052.76",438.62,438.62,,70.00,,,,,,
KPC 23930A-00182,,,,,,011925,,Paid,Organic Longsleeves Onesies,,0-9 mon.,pc,1.13,4140,0.00,61.00,,,,,"10,797.36",828.44,828.44,,89.00,,,,,,
KPC 23930A-00182,,,,,,011925,,Paid,Organic Shortsleeves Onesies,,0-9 mon.,pc,1.13,5034,0.00,61.00,,,,,"8,752.64",671.56,671.56,,86.00,,,,,,
,,,,,,,,Paid,Carters Baby Shorts,,6m-2T,pc,0.40,,,60.00,,,,,,,,,,,,,,,
KPC 23930A-00181,,,,,,020725,,Paid,Champion Shirts,,2-18Y,pc,1.34,2714,0.00,60.00,,,,,"12,560.00","2,500.00","2,500.00",,127.00,,,,,,
KPC 23930A-00179,,,,,,022225,,Paid,Hallmark Frogsuit,,0-12m,set,2.56,93,2.53,61.00,,,,,"1,057.19",168.34,168.34,,240.00,,,,,,
